Title,Director,Cast,genres,original_language,overview,popularity,release_date,runtime,title,vote_average,emotion_mood,genre_mood,final_mood
Along for the Ride,Sofia Alvarez ,"Emma Pasarow, Belmont Cameli, Kate Bosworth, Andie MacDowell, Dermot Mulroney","Romance,Drama",en,"The summer before college, Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on nightly quests to help Auden experience the fun, carefree teen life she never knew she wanted.",19.899,2022.0,1 hrs 46 min,Along for the Ride,6.8,Thrilling,Romantic,Romantic
Marmaduke,Mark A.Z. Dippé ,"Pete Davidson, J. K. Simmons, David Koechner, Brian Hull","Animation,Family,Comedy,Adventure",en,"Great Dane Marmaduke epitomizes the overgrown lapdog, with an irascible streak and a penchant for mischief that is tempered with a deep sense of love and responsibility for his human family, the Winslows. The new animation is set in the world of elite dog shows, rife divas, rivalries and slapstick comedy.",36.549,2022.0,1 hrs 28 min,Marmaduke,5.4,Sad,Happy,Sad
Escape the Field,Emerson Moore ,"Jordan Claire Robbins, Theo Rossi, Tahirah Sharif, Shane West","Thriller,Horror",en,"Six strangers suddenly awaken in a remote, endless cornfield. Stripped of their possessions, they are left with only six items: a gun with a single bullet, matches, a lantern, a knife, a compass, and a flask of water. As mysterious sirens blare in the distance and traps appear at every turn, the group realizes it’s been plunged into a cat-and-mouse game with an unseen evil, and survival depends upon solving a diabolical and deadly puzzle.",22.715,2022.0,1 hrs 29 min,Escape the Field,5.073,Thrilling,Thrilling,Thrilling
Operation Mincemeat,John Madden ,"Colin Firth, Matthew Macfadyen, Kelly Macdonald, Penelope Wilton, Johnny Flynn, Jason Isaacs","War,History,Drama",en,"In 1943, two British intelligence officers concoct Operation Mincemeat, wherein their plan to drop a corpse with false papers off the coast of Spain would fool Nazi spies into believing the Allied forces were planning to attack by way of Greece rather than Sicily.",17.28,2022.0,2 hrs 8 min,Operation Mincemeat,6.492,Thrilling,Emotional,Emotional
Senior Year,Alex Hardcastle ,"Rebel Wilson, Sam Richardson, Zoë Chao, Mary Holland, Justin Hartley, Chris Parnell, Angourie Rice, Michael Cimino, Jeremy Ray Taylor, Brandon Scott Jones, Alicia Silverstone",Comedy,en,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen.,48.098,2022.0,1 hrs 52 min,Senior Year,5.9,Happy,Happy,Happy
Firestarter,Keith Thomas ,"Zac Efron, Ryan Kiera Armstrong, Sydney Lemmon, Kurtwood Smith, John Beasley, Michael Greyeyes, Gloria Reuben","Science Fiction,Thriller,Horror",en,"For more than a decade, parents Andy and Vicky have been on the run, desperate to hide their daughter Charlie from a shadowy federal agency that wants to harness her unprecedented gift for creating fire into a weapon of mass destruction. Andy has taught Charlie how to defuse her power, which is triggered by anger or pain. But as Charlie turns 11, the fire becomes harder and harder to control. After an incident reveals the family's location, a mysterious operative is deployed to hunt down the family and seize Charlie once and for all. Charlie has other plans.",26.747,2022.0,1 hrs 34 min,Firestarter,5.8,Thrilling,Thrilling,Thrilling
Sneakerella,Elizabeth Allen Rosenbaum ,"Chosen Jacobs, Lexi Underwood, John Salley","Music,Comedy,Family",en,"When El, an aspiring sneaker designer from Queens, meets Kira King, the fiercely independent daughter of legendary basketball star and sneaker tycoon Darius King, sparks fly as the two bond over their mutual affinity for sneakers. With a little nudge from his best friend and a sprinkle of Fairy Godfather magic, El finds the courage to use his talent to pursue his dream of becoming a ‘legit’ sneaker designer in the industry.",14.297,2022.0,1 hrs 50 min,Sneakerella,6.042,Happy,Happy,Happy
On the Count of Three,Jerrod Carmichael ,"Jerrod Carmichael, Christopher Abbott, Tiffany Haddish, J. B. Smoove, Henry Winkler","Comedy,Drama",en,"Val has reached a place where he feels the only way out is to end things. But he considers himself a bit of a failure—his effectiveness lacking—so he figures he could use some help. As luck would have it, Val’s best friend, Kevin, is recovering from a failed suicide attempt, so he seems like the perfect partner for executing this double suicide plan. But before they go, they have some unfinished business to attend to.",22.588,2022.0,1 hrs 26 min,On the Count of Three,6.6,Sad,Happy,Sad
Private Property,Chadd Harbold ,"Ashley Benson, Shiloh Fernandez, Logan Miller, Frank Whaley, Jay Pharoah","Thriller,Drama",en,"Kathryn, a struggling actress and unfulfilled housewife, becomes involved with her new gardener, Ben. As he gives her the attention and sensitivity she craves, they start to fall for each other. But Ben is not what he seems.",15.635,2022.0,1 hrs 27 min,Private Property,3.6,Sad,Thrilling,Sad
Family Camp,Brian Cates ,"Tommy Woodward, Eddie James, Leigh-Allyn Baker, Mark Christopher Lawrence","Comedy,Family",en,"When workaholic Tommy's wife insists that he spend more time with his family, he agrees to sign up for Family Camp. What Tommy didn't count on was being forced to share a yurt at camp with the larger-than-life Sanders family.",7.945,2022.0,1 hrs 51 min,Family Camp,5.8,Intense,Happy,Intense
Montana Story,"Scott McGehee, David Siegel ","Haley Lu Richardson, Owen Teague",Drama,en,Two estranged siblings return home to the sprawling ranch they once knew and loved in order to care for their ailing father.,6.982,2022.0,1 hrs 53 min,Montana Story,5.7,Sad,Emotional,Sad
Vendetta,Jared Cohn ,"Clive Standen, Theo Rossi, Mike Tyson, Thomas Jane, Bruce Willis",Action,en,"When his daughter is murdered, William Duncan takes the law into his own hands, setting out on a quest for retribution. After killing the street thug responsible for her death, he finds himself in the middle of a war with the thug's brother, father, and their gang, who are equally hell-bent on getting even. What ensues is a tense back-and-forth game of vengeance. By the end, William comes to find that the quest for revenge never has a winner.",42.884,2022.0,1 hrs 36 min,Vendetta,6.2,Thrilling,Intense,Intense
Downton Abbey: A New Era,Simon Curtis ,"Hugh Bonneville, Elizabeth McGovern, Maggie Smith, Michelle Dockery, Laura Carmichael, Jim Carter, Phyllis Logan","Drama,Romance",en,The Crawley family goes on a grand journey to the south of France to uncover the mystery of the dowager countess's newly inherited villa.,21.173,2022.0,2 hrs 5 min,Downton Abbey: A New Era,7.2,Happy,Emotional,Emotional
Chip 'n Dale: Rescue Rangers,Akiva Schaffer ,"John Mulaney, Andy Samberg, Will Arnett, Eric Bana, Keegan-Michael Key, Seth Rogen, J. K. Simmons, KiKi Layne","Animation,Family,Comedy,Adventure,Mystery",en,"Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.",66.891,2022.0,1 hrs 39 min,Chip 'n Dale: Rescue Rangers,7.004,Sad,Happy,Sad
Good Mourning,"Colson Baker, Mod Sun ","Colson Baker, Mod Sun, Becky G, Dove Cameron, Pete Davidson, Whitney Cummings, Megan Fox",Comedy,en,Movie star London Clash gets his world turned upside down when he must choose between pursuing his one true love and landing a life-changing starring role in a major motion picture.,11.793,2022.0,1 hrs 33 min,Good Mourning,5.7,Happy,Happy,Happy
The Valet,Richard Wong ,"Eugenio Derbez, Samara Weaving","Comedy,Romance",en,"World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.",36.94,2022.0,2 hrs 4 min,The Valet,7.7,Happy,Happy,Happy
Emergency,Carey Williams ,"RJ Cyler, Sabrina Carpenter","Comedy,Drama,Thriller",en,"Ready for a night of legendary partying, three college students must weigh the pros and cons of calling the police when faced with an unexpected situation.",12.741,2022.0,1 hrs 45 min,Emergency,6.1,Happy,Happy,Happy
Top Gun: Maverick,Joseph Kosinski ,"Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Lewis Pullman, Ed Harris, Val Kilmer","Action,Drama",en,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",244.832,2022.0,2 hrs 11 min,Top Gun: Maverick,8.278,Happy,Intense,Intense
The Bob's Burgers Movie,"Loren Bouchard, Bernard Derriman ","H. Jon Benjamin, Dan Mintz, Eugene Mirman, Larry Murphy, John Roberts, Kristen Schaal, Zach Galifianakis, Kevin Kline","Animation,Adventure,Comedy",en,"When a ruptured water main creates an enormous sinkhole right in front of Bob's Burgers, it blocks the entrance indefinitely and ruins the Belchers’ plans for a successful summer. While Bob and Linda struggle to keep the business afloat, the kids try to solve a mystery that could save their family's restaurant. As the dangers mount, these underdogs help each other find hope and fight to get back behind the counter, where they belong.",24.877,2022.0,1 hrs 42 min,The Bob's Burgers Movie,7.011,Thrilling,Adventurous,Adventurous
Zero Contact,Rick Dugdale ,"Anthony Hopkins, Chris Brochu, Aleks Paunovic","Science Fiction,Thriller",en,"Produced in 17 different countries entirely virtually during the 2020 global pandemic, the film follows five characters based all over the world, connected only by their devotion to the late founder and tech titan Finley Hart. Forced to work together to shut down Hart’s most secret invention, a machine that is either the solution to mankind’s problems or the end of the earth.",7.246,2022.0,1 hrs 36 min,Zero Contact,4.2,Sad,Thrilling,Sad
Hollywood Stargirl,Julia Hart ,"Elijah Richardson, Grace VanderWaal, Tyrel Jackson Williams, Judy Greer, Judd Hirsch, Uma Thurman","Comedy,Romance,Music",en,"When Stargirl's mother is hired as the costume designer on a movie, they relocate to L.A., where Stargirl quickly becomes involved with an eclectic assortment of characters.",23.946,2022.0,1 hrs 45 min,Hollywood Stargirl,6.8,Happy,Happy,Happy
Crimes of the Future,David Cronenberg ,"Viggo Mortensen, Léa Seydoux, Kristen Stewart, Scott Speedman","Horror,Science Fiction",en,"With his partner Caprice, celebrity performance artist Saul Tenser publicly showcases the metamorphosis of his organs in avant-garde performances. Timlin, an investigator from the National Organ Registry, obsessively tracks their movements, which is when a mysterious group is revealed... Their mission -- to use Saul's notoriety to shed light on the next phase of human evolution.",24.6,2022.0,1 hrs 47 min,Crimes of the Future,6.239,Thrilling,Horror,Horror
Benediction,Terence Davies ,"Jack Lowden, Peter Capaldi, Simon Russell Beale, Jeremy Irvine, Kate Phillips, Gemma Jones, Ben Daniels","Drama,History,War",en,"Poet Siegfried Sassoon survived the horrors of fighting in the First World War and was decorated for his bravery, but became a vocal critic of the government's continuation of the war when he returned from service. Adored by members of the aristocracy as well as stars of London's literary and stage world, he embarked on affairs with several men as he attempted to come to terms with his homosexuality.",13.274,2021.0,2 hrs 17 min,Benediction,6.6,Happy,Emotional,Emotional
Interceptor,Matthew Reilly ,"Elsa Pataky, Luke Bracey","Action,Thriller,Adventure",en,A U.S. Army Captain uses her years of tactical training to save humanity from sixteen nuclear missiles launched at the U.S. as a violent attack threatens her remote missile interceptor station.,36.593,2022.0,1 hrs 38 min,Interceptor,6.2,Intense,Intense,Intense
Fire Island,Andrew Ahn ,"Joel Kim Booster, Bowen Yang, Conrad Ricamora, James Scully, Margaret Cho","Comedy,Romance",en,A pair of best friends set out to have a legendary week-long summer vacation with the help of cheap rosé and a group of eclectic friends.,27.038,2022.0,1 hrs 46 min,Fire Island,7.3,Happy,Happy,Happy
Watcher,Chloe Okuno ,"Maika Monroe, Karl Glusman, Burn Gorman","Horror,Mystery,Thriller",en,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street.",68.589,2022.0,1 hrs 36 min,Watcher,6.567,Thrilling,Horror,Horror
Dashcam,Rob Savage ,Annie Hardy,"Horror,Thriller",en,"At the start of the pandemic, an indulgent and self-deluded livestreaming improv musician abandons L.A. for London, steals her ex-bandmate's car, and makes the fateful decision to give a ride to an elderly woman who is not what she seems.",7.551,2022.0,1 hrs 20 min,Dashcam,5.195,Intense,Horror,Horror
White Elephant,Jesse V. Johnson ,"Michael Rooker, Bruce Willis, Olga Kurylenko, John Malkovich","Action,Crime,Thriller",en,An ex-marine enforcer must battle his conscience and code of honor when he is forced to do things for the mob.,39.355,2022.0,1 hrs 33 min,White Elephant,6.297,Intense,Intense,Intense
Hustle,Jeremiah Zagar ,"Adam Sandler, Queen Latifah, Ben Foster, Juancho Hernangómez, Robert Duvall, Anthony Edwards","Drama,Comedy",en,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA.",49.807,2022.0,1 hrs 58 min,Hustle,7.8,Happy,Emotional,Emotional
Jurassic World Dominion,Colin Trevorrow ,"Chris Pratt, Bryce Dallas Howard, Laura Dern, Jeff Goldblum, Sam Neill, DeWanda Wise, Mamoudou Athie, Isabella Sermon, Campbell Scott, BD Wong, Omar Sy","Adventure,Action,Science Fiction",en,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators ona planet they now share with history's most fearsome creatures.",242.89,2022.0,2 hrs 27 min,Jurassic World Dominion,6.826,Thrilling,Adventurous,Adventurous
Father of the Bride,Gaz Alazraki ,"Andy García, Gloria Estefan, Adria Arjona, Isabela Merced, Diego Boneta, Chloe Fineman","Romance,Comedy",en,"A father coming to grips with his daughter’s upcoming wedding through the prism of multiple relationships within a big, sprawling Cuban-American family.",20.727,2022.0,1 hrs 58 min,Father of the Bride,6.6,Happy,Romantic,Romantic
Lightyear,Angus MacLane ,"Chris Evans, Keke Palmer, Peter Sohn, Taika Waititi, Dale Soules, James Brolin, Uzo Aduba, Mary McDonald-Lewis, Isiah Whitlock Jr.","Animation,Action,Adventure,Family,Science Fiction",en,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,91.697,2022.0,1 hrs 45 min,Lightyear,7.085,Happy,Intense,Intense
Spiderhead,Joseph Kosinski ,"Chris Hemsworth, Miles Teller, Jurnee Smollett","Science Fiction,Thriller",en,A prisoner in a state-of-the-art penitentiary begins to question the purpose of the emotion-controlling drugs he's testing for a pharmaceutical genius.,55.281,2022.0,1 hrs 46 min,Spiderhead,5.815,Thrilling,Thrilling,Thrilling
Jerry & Marge Go Large,David Frankel ,"Bryan Cranston, Annette Bening, Rainn Wilson, Larry Wilmore, Michael McKean, Anna Camp","Comedy,Drama",en,"The remarkable true story of how retiree Jerry Selbee discovers a mathematical loophole in the Massachusetts lottery and, with the help of his wife, Marge, wins $27 million dollars and uses the money to revive their small Michigan town.",27.938,2022.0,1 hrs 36 min,Jerry & Marge Go Large,7.21,Happy,Happy,Happy
Cha Cha Real Smooth,Cooper Raiff ,"Cooper Raiff, Dakota Johnson, Raúl Castillo, Odeya Rush, Evan Assante, Vanessa Burghardt, Brad Garrett, Leslie Mann","Comedy,Drama,Romance",en,"Fresh out of college and stuck at his New Jersey home without a clear path forward, 22-year-old Andrew begins working as a party starter for bar/bat mitzvahs—where he strikes up a unique friendship with a young mom and her teenage daughter.",20.465,2022.0,1 hrs 48 min,Cha Cha Real Smooth,7.2,Happy,Happy,Happy
Mid-Century,Sonja O'Hara ,"Shane West, Sarah Hay, Bruce Dern, Stephen Lang","Horror,Thriller",en,A husband and wife's weekend in a mid-century modern vacation rental turns deadly when the husband discovers the owner is a psychopath with a backyard of buried secrets and designs on his wife.,5.926,2022.0,1 hrs 45 min,Mid-Century,4.765,Intense,Horror,Horror
Abandoned,Spencer Squire ,"Emma Roberts, John Gallagher Jr., Michael Shannon","Horror,Mystery,Thriller",en,"After a young couple moves into a remote farmhouse with their infant son, the woman's struggles with postpartum psychosis begin to intensify... as the house reveals secrets of its own.",79.581,2022.0,1 hrs 42 min,Abandoned,6.2,Thrilling,Horror,Horror
Beavis and Butt-Head Do the Universe,Mike Judge ,"Mike Judge, Gary Cole, Chris Diamantopoulos, Nat Faxon, David Herman, Brian Huskey, Chi McBride, Tig Notaro, Stephen Root, Andrea Savage, Martin Starr, Jimmy O. Yang","Animation,Comedy,Science Fiction",en,"In 1998, Beavis and Butt-Head are sentenced to Space Camp by a “creative” judge. Their obsession with a docking simulator (huh huh) leads to a trip on the Space Shuttle, with predictably disastrous results. After going through a black hole, they re-emerge in our time, where they look for love, misuse iPhones, and are hunted by the Deep State. Spoiler: They don’t score.",23.167,2022.0,1 hrs 26 min,Beavis and Butt-Head Do the Universe,7.1,Intense,Happy,Intense
Elvis,Baz Luhrmann ,"Austin Butler, Tom Hanks, Olivia DeJonge, Helen Thomson, Richard Roxburgh, Kelvin Harrison Jr., David Wenham, Kodi Smit-McPhee, Luke Bracey","Drama,Music,History",en,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",59.376,2022.0,2 hrs 39 min,Elvis,7.607,Thrilling,Emotional,Emotional
The Black Phone,Scott Derrickson ,"Ethan Hawke, Mason Thames, Madeleine McGraw, Jeremy Davies, James Ransone","Horror,Thriller",en,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",77.197,2022.0,1 hrs 43 min,The Black Phone,7.742,Thrilling,Horror,Horror
The Man from Toronto,Patrick Hughes ,"Kevin Hart, Woody Harrelson, Kaley Cuoco, Jasmine Mathews, Lela Loren, Pierson Fodé, Jencarlos Canela, Ellen Barkin, Martin Roach","Action,Adventure,Comedy",en,"In a case of mistaken identity, the world’s deadliest assassin, known as the Man from Toronto, and a New York City screw-up are forced to team up after being confused for each other at a rental cabin.",68.217,2022.0,1 hrs 53 min,The Man from Toronto,6.551,Thrilling,Intense,Intense
The Sea Beast,Chris Williams ,"Karl Urban, Zaris-Angel Hator, Jared Harris, Marianne Jean-Baptiste, Jim Carter, Doon Mackichan, Dan Stevens, Kathy Burke","Animation,Adventure,Family,Fantasy",en,"In an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes. None were more beloved than the great Jacob Holland. But when young Maisie Brumble stows away on his fabled ship, he's saddled with an unexpected ally. Together they embark on an epic journey into uncharted waters and make history.",82.588,2022.0,1 hrs 59 min,The Sea Beast,7.47,Happy,Adventurous,Adventurous
Marcel the Shell with Shoes On,Dean Fleischer-Camp ,"Jenny Slate, Rosa Salazar, Thomas Mann, Dean Fleischer-Camp, Lesley Stahl, Isabella Rossellini","Animation,Comedy,Drama,Family",en,"Marcel is an adorable one-inch-tall shell who ekes out a colorful existence with his grandmother Connie and their pet lint, Alan. Once part of a sprawling community of shells, they now live alone as the sole survivors of a mysterious tragedy. But when a documentary filmmaker discovers them amongst the clutter of his Airbnb, the short film he posts online brings Marcel millions of passionate fans, as well as unprecedented dangers and a new hope at finding his long-lost family.",114.984,2022.0,1 hrs 30 min,Marcel the Shell with Shoes On,7.695,Happy,Happy,Happy
Rise,Akin Omotoso ,"Uche Agada, Ral Agada, Jaden Osimuwa, Elijah Shomanke, Yetide Badaki, Dayo Okeniyi",Drama,en,"After emigrating to Greece from Nigeria, Vera and Charles Antetokounmpo struggled to survive and provide for their five children, while living under the daily threat of deportation. Desperate to obtain Greek citizenship but undermined by a system that blocked them at every turn, the family's vision, determination and faith lifted them out of obscurity to launch the careers of three NBA champions.",20.569,2022.0,1 hrs 53 min,Rise,7.7,Thrilling,Emotional,Emotional
Press Play,Greg Björkman ,"Clara Rugaard, Lewis Pullman, Lyrica Okano, Christina Chang, Matt Walsh, Danny Glover","Music,Romance,Science Fiction",en,"Laura and Harrison have the picture-perfect romance built on the foundation of a shared love of music. After a deadly accident, Laura gets the chance to save the love of her life when she discovers that their mixtape can transport her back in time.",12.56,2022.0,1 hrs 25 min,Press Play,6.8,Happy,Romantic,Romantic
Beauty,Andrew Dosunmu ,"Gracie Marie Bradley, Niecy Nash, Aleyse Shannon, Giancarlo Esposito, Micheal Ward, Sharon Stone","Romance,Drama,Music",en,"A young singer on the brink of a promising career finds herself torn between a domineering family, industry pressures and her love for her girlfriend.",6.64,2022.0,1 hrs 35 min,Beauty,5.7,Thrilling,Romantic,Romantic
Minions: The Rise of Gru,Kyle Balda ,"Steve Carell, Taraji P. Henson, Michelle Yeoh, RZA, Jean-Claude Van Damme, Lucy Lawless, Dolph Lundgren, Danny Trejo, Russell Brand, Julie Andrews, Alan Arkin","Animation,Comedy,Family",en,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",186.626,2022.0,1 hrs 27 min,Minions: The Rise of Gru,7.411,Intense,Happy,Intense
The Forgiven,John Michael McDonagh ,"Ralph Fiennes, Jessica Chastain, Matt Smith, Ismael Kanater, Caleb Landry Jones, Abbey Lee, Mourad Zaoui, Marie-Josée Croze, Alex Jennings, Saïd Taghmaoui, Christopher Abbott",Drama,en,"Over a weekend in the High Atlas Mountains of Morocco, a random accident reverberates through the lives of both the local Muslims and Western visitors to a house party in a grand villa.",22.265,2022.0,1 hrs 57 min,The Forgiven,5.898,Thrilling,Emotional,Emotional
Mr. Malcolm's List,Emma Holly Jones ,"Freida Pinto, Sope Dirisu, Oliver Jackson-Cohen, Ashley Park, Zawe Ashton, Theo James","Comedy,Drama,Romance",en,"When she fails to meet an item on his list of requirements for a bride, Julia Thistlewaite is jilted by London’s most eligible bachelor, Mr. Malcolm. Feeling humiliated and determined to exact revenge, she convinces her friend Selina Dalton to play the role of his ideal match. Soon, Mr. Malcolm wonders whether he’s found the perfect woman...or the perfect hoax.",9.62,2022.0,1 hrs 57 min,Mr. Malcolm's List,6.1,Sad,Happy,Sad
The Princess,Le-Van Kiet ,"Joey King, Dominic Cooper, Olga Kurylenko, Veronica Ngo","Action,Fantasy",en,"A beautiful, strong-willed young royal refuses to wed the cruel sociopath to whom she is betrothed and is kidnapped and locked in a remote tower of her father’s castle. With her scorned, vindictive suitor intent on taking her father’s throne, the princess must protect her family and save the kingdom.",59.798,2022.0,1 hrs 34 min,The Princess,6.9,Intense,Intense,Intense
Hot Seat,James Cullen Bressack ,"Kevin Dillon, Mel Gibson, Shannen Doherty",Thriller,en,"An ex-hacker is forced to break into high-level banking institutions, another man must try to penetrate the booby-trapped building to get the young man off the hot seat.",32.943,2022.0,1 hrs 27 min,Hot Seat,5.5,Intense,Thrilling,Intense
"Hello, Goodbye, and Everything in Between",Michael Lewen ,"Talia Ryder, Jordan Fisher, Ayo Edebiri, Nico Hiraga, Jennifer Robertson, Patrick Sabongui","Romance,Drama",en,"Clare and Aidan, after making a pact that they would break up before college, find themselves retracing the steps of their relationship on their last evening as a couple. The epic date leads them to familiar landmarks, unexpected places, and causes them to question whether high school love is meant to last.",21.828,2022.0,1 hrs 23 min,"Hello, Goodbye, and Everything in Between",6.353,Happy,Romantic,Romantic
Thor: Love and Thunder,Taika Waititi ,"Chris Hemsworth, Christian Bale, Tessa Thompson, Jaimie Alexander, Taika Waititi, Russell Crowe, Natalie Portman","Fantasy,Action,Comedy",en,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",245.012,2022.0,1 hrs 59 min,Thor: Love and Thunder,6.552,Happy,Whimsical,Whimsical
The Gray Man,"Anthony Russo, Joe Russo ","Ryan Gosling, Chris Evans, Ana de Armas, Jessica Henwick, Regé-Jean Page, Wagner Moura, Julia Butters, Dhanush, Alfre Woodard, Billy Bob Thornton","Action,Thriller",en,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",66.486,2022.0,2 hrs 8 min,The Gray Man,6.983,Thrilling,Intense,Intense
Where the Crawdads Sing,Olivia Newman ,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, Michael Hyatt, Sterling Macer Jr., Jojo Regina, Garret Dillahunt, Ahna O'Reilly, David Strathairn","Mystery,Drama,Thriller",en,"Abandoned by her family, Kya raises herself all alone in the marshes outside of her small town. When her former boyfriend is found dead, Kya is instantly branded by the local townspeople and law enforcement as the prime suspect for his murder.",69.566,2022.0,2 hrs 5 min,Where the Crawdads Sing,7.591,Sad,Suspenseful,Sad
Paws of Fury: The Legend of Hank,"Rob Minkoff, Mark Koetsier ","Michael Cera, Ricky Gervais, Mel Brooks, George Takei, Aasif Mandvi, Gabriel Iglesias, Djimon Hounsou, Michelle Yeoh, Samuel L. Jackson","Animation,Action,Adventure,Comedy,Family,Western",en,"A hard-on-his-luck hound finds himself in a town full of cats in need of a hero to defend them from a ruthless villain's wicked plot to wipe their village off the map. With help from a reluctant mentor, our underdog must assume the role of town samurai and team up with the villagers to save the day.",56.445,2022.0,1 hrs 34 min,Paws of Fury: The Legend of Hank,6.764,Thrilling,Intense,Intense
Persuasion,Carrie Cracknell ,"Dakota Johnson, Cosmo Jarvis, Nikki Amuka-Bird, Mia McKenna-Bruce, Richard E. Grant, Henry Golding","Romance,Drama,Comedy",en,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth - the dashing one she once sent away - crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.",22.454,2022.0,1 hrs 48 min,Persuasion,6.0,Sad,Romantic,Sad
Gone in the Night,Eli Horowitz ,"Winona Ryder, Dermot Mulroney, John Gallagher Jr., Owen Teague, Brianne Tju","Thriller,Mystery,Drama",en,"Upon arriving at a remote cabin in the redwoods, Kath and her boyfriend find a mysterious younger couple already there — the rental has apparently been double-booked. They decide to share the cabin with these strangers until the next morning, but her boyfriend disappears with the young woman, which sends Kath in a spiral to find an explanation for their sudden breakup — but the truth is far stranger than she could have imagined.",16.781,2022.0,1 hrs 30 min,Gone in the Night,5.7,Thrilling,Thrilling,Thrilling
1Up,Kyle Newman ,"Paris Berelc, Taylor Zakhar Perez, Hari Nef, Kevin Farley, Ruby Rose",Comedy,en,"After Valerie Lee quits her college esports team, she quickly realizes that her decision comes at the cost of her scholarship. Valerie soon discovers a loophole to save her collegiate future, if she can find a coach and assemble a whole new varsity-caliber team capable of reaching the State Finals.",19.93,2022.0,1 hrs 40 min,1Up,5.1,Happy,Happy,Happy
Wrong Place,Mike Burns ,"Ashley Greene, Bruce Willis",Thriller,en,"A methamphetamine cook hunts down the former police chief of a small town in order to silence him before he can deliver eyewitness testimony against his family, but ultimately finds himself up against more than he had bargained for.",10.972,2022.0,1 hrs 36 min,Wrong Place,4.6,Intense,Thrilling,Intense
Don't Make Me Go,Hannah Marks ,"John Cho, Mia Isaac",Drama,en,"A terminally ill man and his teenage daughter embark on a road trip from California to New Orleans for his 20th college reunion. While there, he secretly hopes she can reunite with the mother who left them long ago.",13.385,2022.0,1 hrs 49 min,Don't Make Me Go,7.5,Sad,Emotional,Sad
He's Watching,Jacob Aaron Estes ,"Iris Serena Estes, Lucas Steel Estes",Horror,en,"A pair of happy-go-lucky siblings, left alone while their parents recover from an illness, play a series of pranks on each other. The game becomes nightmarish when they realize something sinister is watching them - and it wants to play too.",2.58,2022.0,1 hrs 35 min,He's Watching,4.3,Thrilling,Horror,Horror
Nope,Jordan Peele ,"Daniel Kaluuya, Keke Palmer, Steven Yeun, Michael Wincott, Brandon Perea, Keith David","Horror,Mystery,Science Fiction",en,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",71.193,2022.0,2 hrs 10 min,Nope,6.913,Thrilling,Horror,Horror
